quote_id,product_family,power_kw,weight_kg,pressure_bar,material_grade,custom_machining_hours,num_components,tolerance_class,order_quantity,lead_time_days,customer_segment,region,competitor_present,contract_type,gross_margin_kusd,final_price_kusd
Q00001,Pump-B,48.7,249.0,112.0,Titanium,32.6,221,Std,48,86.0,SMB,East,No,Spot,26.65,94.59
Q00002,Pump-A,43.9,201.0,216.8,Alloy,11.5,105,Ultra,4,64.0,MidMarket,West,Yes,Spot,16.41,64.53
Q00003,Pump-A,30.7,106.0,63.1,Alloy,9.7,64,Precision,40,138.0,Enterprise,South,No,Spot,7.16,40.28
Q00004,Pump-A,36.1,202.0,81.9,Alloy,34.9,74,Std,22,94.0,Enterprise,South,No,Spot,12.83,49.87
Q00005,Turbine-T,644.9,2168.0,16.0,Standard,36.2,323,Std,29,142.0,MidMarket,East,Yes,Annual,34.66,299.25
Q00006,Compressor-X,154.9,580.0,29.6,Standard,42.6,113,Precision,19,87.0,SMB,East,Yes,Annual,34.35,134.83
Q00007,Compressor-X,94.7,,177.1,Stainless,43.1,125,Std,38,46.0,SMB,East,No,Spot,27.69,107.42
Q00008,Pump-A,19.1,79.0,236.2,Stainless,13.6,108,Std,27,46.0,SMB,South,No,Spot,8.23,35.28
Q00009,Compressor-X,112.3,448.0,232.7,Alloy,37.3,188,Std,33,109.0,MidMarket,East,Yes,Spot,18.89,110.1
Q00010,Valve-Z,12.3,60.0,21.2,Stainless,30.0,84,Std,26,,Enterprise,East,No,Framework,4.67,27.5
Q00011,Valve-Z,11.5,90.0,31.8,Standard,9.0,33,Std,41,133.0,Enterprise,West,Yes,Annual,1.39,16.88
Q00012,Compressor-Y,241.0,897.0,182.4,Standard,46.2,189,Std,35,110.0,SMB,West,Yes,Annual,41.04,173.78
Q00013,Valve-Z,9.5,65.0,38.0,Standard,31.1,106,Std,10,116.0,Enterprise,East,Yes,Framework,3.64,26.22
Q00014,Turbine-T,545.8,1894.0,208.4,Stainless,40.4,352,Ultra,49,92.0,MidMarket,South,Yes,Spot,77.93,440.12
Q00015,Compressor-Y,364.3,1302.0,13.2,Alloy,102.9,109,Std,16,37.0,SMB,North,No,Framework,83.11,267.73
Q00016,Compressor-Y,192.4,735.0,14.8,Titanium,52.3,258,Std,26,153.0,SMB,West,No,Spot,66.36,232.2
Q00017,Valve-Z,10.2,74.0,69.5,Standard,34.8,64,Std,19,,MidMarket,West,Yes,Framework,3.99,25.95
Q00018,Pump-A,38.3,164.0,25.1,Alloy,36.6,99,Std,38,34.0,Enterprise,East,No,Spot,8.26,46.46
