asset_id,asset_type,site,install_date,criticality,manufacturer
A0001,compressor,Plant_A,2023-06-01,medium,Crompton
A0002,valve,Plant_B,2019-07-02,low,Bharat
A0003,motor,Plant_B,2015-09-10,high,Crompton
A0004,valve,Plant_B,2019-08-26,low,Acme
A0005,motor,Plant_B,2017-02-11,high,Danfoss
A0006,pump,Plant_B,2015-12-24,high,Crompton
A0007,valve,Plant_A,2018-12-10,low,Acme
A0008,motor,Plant_C,2020-07-12,medium,Danfoss
A0009,valve,Plant_A,2020-09-09,medium,Danfoss
A0010,compressor,Plant_A,2018-02-16,medium,Crompton
A0011,pump,Plant_C,2022-05-03,high,Bharat
A0012,heat_exchanger,Plant_A,2019-07-16,medium,Bharat
A0013,heat_exchanger,Plant_A,2017-03-11,high,Acme
A0014,valve,Plant_B,2023-01-03,medium,Bharat
A0015,valve,Plant_C,2015-11-04,medium,Crompton
A0016,pump,Plant_B,2016-10-03,low,Danfoss
A0017,compressor,Plant_C,2017-08-21,medium,Danfoss
A0018,motor,Plant_B,2015-05-11,high,Acme
A0019,valve,Plant_A,2022-06-27,medium,Crompton
A0020,pump,Plant_A,2015-09-06,medium,Acme
A0021,motor,Plant_C,2019-07-01,medium,Acme
A0022,pump,Plant_B,2022-11-05,medium,Danfoss
A0023,pump,Plant_B,2017-06-01,medium,Bharat
A0024,pump,Plant_B,2019-11-05,medium,Bharat
A0025,pump,Plant_A,2018-04-15,medium,Danfoss
A0026,heat_exchanger,Plant_B,2015-06-10,low,Crompton
A0027,valve,Plant_A,2017-01-13,medium,Crompton
A0028,compressor,Plant_C,2016-04-04,medium,Bharat
A0029,motor,Plant_B,2022-09-16,low,Acme
A0030,valve,Plant_A,2017-11-12,medium,Acme
A0031,pump,Plant_A,2021-11-26,low,Danfoss
A0032,valve,Plant_A,2019-08-20,low,Crompton
A0033,pump,Plant_A,2017-10-23,low,Acme
A0034,heat_exchanger,Plant_A,2021-08-11,low,Acme
A0035,pump,Plant_A,2015-04-08,low,Bharat
A0036,compressor,Plant_A,2017-10-20,medium,Acme
A0037,compressor,Plant_B,2022-12-15,medium,Danfoss
A0038,pump,Plant_A,2015-08-10,low,Acme
A0039,heat_exchanger,Plant_A,2022-12-12,medium,Bharat
A0040,pump,Plant_A,2015-08-12,low,Danfoss
A0041,pump,Plant_B,2021-11-21,low,Crompton
A0042,pump,Plant_B,2023-07-18,high,Danfoss
A0043,pump,Plant_B,2017-08-14,low,Danfoss
A0044,compressor,Plant_C,2020-10-22,medium,Bharat
A0045,valve,Plant_C,2015-10-10,low,Acme
A0046,heat_exchanger,Plant_C,2020-07-17,low,Danfoss
A0047,valve,Plant_A,2023-12-26,medium,Danfoss
A0048,valve,Plant_B,2022-10-26,high,Crompton
A0049,pump,Plant_C,2018-04-22,low,Bharat
A0050,pump,Plant_A,2023-07-27,low,Crompton
A0051,pump,Plant_C,2022-03-07,medium,Crompton
A0052,valve,Plant_C,2022-05-31,high,Crompton
A0053,compressor,Plant_A,2015-06-22,low,Bharat
A0054,motor,Plant_C,2018-11-02,medium,Danfoss
A0055,motor,Plant_B,2021-10-19,low,Acme
A0056,pump,Plant_A,2018-07-18,medium,Crompton
A0057,pump,Plant_A,2016-01-22,low,Acme
